harness,suite,suite-bugbench,crashing,lang-c,lang-cpp,lang-rust,slow,fast,shallow,big,progress-24h,fuzzbench,requires-sjlj,buggy-harness-upstream,wasm-specific-crash,buggy-port,buggy-project
regex-fuzz_regex_match.wasm,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
ron-arbitrary.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
ron-from_str.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ruff-ruff_fix_validity.wasm,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0
ruff-ruff_formatter_idempotency.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
ruff-ruff_formatter_validity.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ruff-ruff_parse_idempotency.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
ruff-ruff_parse_simple.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
rust-analyzer-parser.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
rust-analyzer-reparse.wasm,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1
rustc-demangle-demangle.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
rustc-demangle-native_c.wasm,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
sequoia-cert_from_bytes.wasm,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
sequoia-csf_verify_from_bytes.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sequoia-decrypt_from_bytes.wasm,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
sequoia-inline_verify_from_bytes.wasm,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
sqlite-ossfuzz.wasm,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
stb-png_read.wasm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
stb-stbi_read.wasm,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
symphonia-decode_any.wasm,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
symphonia-decode_mp3.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
toml-edit-parse_document.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unicode-normalization-process.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unicode-normalization-streaming.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unicode-normalization-unicode-normalization.wasm,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
unicode-segmentation-fuzz_target_1.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
unsafe-libyaml-load.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
unsafe-libyaml-parse.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
unsafe-libyaml-scan.wasm,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
woff2-convert_woff2ttf.wasm,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
woff2-convert_woff2ttf_new_entry.wasm,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
x509-parser-certreq.wasm,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
x509-parser-x509_parse.wasm,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
x509-parser-x509_with_mutator.wasm,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
zip2-fuzz_read.wasm,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
zip2-fuzz_write.wasm,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
zlib-uncompress.wasm,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
